layer,quality_delta,cost_delta_usd,frontier_call_delta,uniquely_fixed,newly_broken,overlap_with,decision
P1,heterogeneous weak+Yi pair (deployable triggers),KILL,0,holdout: P1b -0.0078 acc / +22.1% cost vs v1; P1c -0.3931 acc; both FAIL frozen gate
P1,oracle-pair ceiling,DIAGNOSTIC,0,"+6.7pp acc at -39.8% cost vs v1 [CI +0.0594,+0.0748] - headroom target for P3/P4 runtime trigger"
P2,VF answer-format verifier,KILL (conditional),0,"accept precision 0.33 weak / 0.67 mid, gate 0.90; re-activates if deployment has machine-checkable contracts"
P2,VN numeric sanity,KILL,0,precision 0.0 on gsm8k accepts
P2,VJ JSON validity,KILL,0,coverage 0.0 (no JSON blocks in corpus)
P2,VM mbpp compile/exec,KILL,0,0 prompts with asserts in stored corpus; exec coverage 0 by data
P3,answer-aware trigger (R+V+P probe) over v1,KILL (conditional),0,OOF AUROC 0.7385 but no economic conversion over v1; v1 weak-side rows are both-models-fail stratum (weak 4.7%/strong 5.5%); revival needs logprobs/hidden states or a weak-first prereg
P3,realizable-ceiling discovery,DIAGNOSTIC,0,v1-anchored cascade ceiling only +0.3-0.4pp (vs weak-first oracle +6.7pp): v1 prompt-signal already captures recoverable mass
P4,weak-first composition of killed layers (disagree/VF/probe),KILL,0,"no layer passes marginal retention on dev-fit; holdout confirms: L2 -0.8pp/+20% cost, L4 -0.2pp/+28% cost; mission 14 two-clean-ablations rule satisfied (P1b v1-anchored + P4 weak-first both fail identically)"
P4,stack composition verdict,V1 ALONE,0,structural control L1 == v1 (partition assert + holdout acc match 0.6475); v1 @0.30 is the only qualified routing layer into P5
P5,three-tier cascade (Yi mid tier),ORACLE-ONLY,0,"mid tier survives keep gates only under perfect correctness arbiter (+6.7pp/-39% cost, holdout confirmed); no real trigger exists (P2/P3/P4 all dead) -> no deployable cascade; v1 @0.30 remains the only qualified layer; revival: machine-checkable contracts / logprob corpus / trained arbiter via paid generation"
